ngram,weight
بوفيه فيها,0.000705566631297
اما التنظيم,0.00125768456972
حسن,0.00163508867972
سيئة ...,0.00293139633976
مذاق عند,0.00324361571765
فيها بنقالي,0.00455785149164
الطاولات .,0.00468506778382
ولذيذه,0.00613394875801
عليها أعني,0.00633449587997
حبيته,0.00695138499789
التحديات عليه,0.00719982630085
ماعجبني أگلهـم,0.00961012481011
ولذييذ,0.0097214904782
ممكن تحصل,0.0118732412857
شي,0.0127478047392
بالجبن,0.0149847189196
تبعهم,0.014985575351
البيتزا والبطاطس,0.0150103192275
الوجبات عاديه,0.0152881805055
الخدمة والجلسات,0.0157668542817
عليه,0.0158594271403
افظل مذاق,0.0177524376823
المفضلة,0.0203638426615
بعد صلاة,0.0218203719398
اللي,0.0277345958692
انظف,0.0277965722465
الممطعم,0.0283078889526
٨/١٠,0.0307193280505
الميني,0.0325421800647
ا,0.0345342988396
أعشق,0.0359739828936
لابأس .,0.0360436853518
بالنسبه لي,0.0369965472961
,,0.03890972671
شغلهم,0.0389878845244
رائع،,0.0397857908663
صراحة مطعم,0.039880754324
أغلب أگلهم,0.0402136498922
مآلحح,0.0417631577952
لذيد,0.0428628535743
النجاح,0.0430803504399
وانا,0.0435276682983
لكن,0.0452104147663
والديكور سيئة,0.0479352316517
قهوة,0.0496542214717
بالجبنة,0.0511227179456
i,0.055133812075
الصراحة,0.0568623468011
مشكلتهم,0.0593376869812
حجمها,0.0616094761991
الوجبات,0.0635243210251
مطعمي,0.0645049273306
العصائر,0.066904621529
لا ادري,0.0674500178757
انه بطل,0.0685551544614
بس مبالغ,0.0689909056594
الممطعم من,0.0724239325588
لًذيذ,0.0761860455667
ولذلك,0.0767818465666
عبد,0.0774224850306
لذة,0.0785488962789
وجبة,0.0791525241448
فيها جدا,0.0799560783867
اللحم,0.0842303872926
العام,0.084684540157
حجز,0.0861146336168
للاسف ...,0.0940600198916
المحل,0.0948427026253
نص التحديات,0.101435179043
أعني نظافة,0.110635849316
اكله,0.110726970612
🙅,0.113468794846
لذيييييييييييييييييذ,0.113468794846
👍😘,0.113468794846
اساسايهيهايمدعينيناضتسي,0.113468794846
014654109,0.113468794846
واوووووووووووووووووووو,0.113468794846
yammmmmmmi,0.113468794846
ادممممممممممممممممممممممممممااااان,0.113468794846
لززززييييززز😍,0.113468794846
www.menatravelawards.com,0.113468794846
جدا وللأسف,0.11354124814
الحياة !,0.11409468498
سندوتش,0.114792889446
روووعه,0.114859995828
... النظافة,0.115085979026
هش بس,0.115116946821
راقيه,0.119383082799
خصوصاً,0.120198718472
الكشري,0.120212902802
ربيان,0.121209674848
غاااااااااااالي,0.126729569512
amp ;,0.127123775302
رايقة,0.127996248374
اضافات,0.128016455078
حيل,0.131153483692
يجي منه,0.131447801658
مذاق,0.136026293329
اكله طيب,0.137809454634
بأس فيه,0.145245892583
لًذيذ هش,0.146347644387
صراحه,0.147116224973
البرجر,0.147186328354
والسلطات,0.148344975625
لذيذ.,0.149292878008
وكذلك,0.14954604147
ما ..,0.151086514911
اللبنانية,0.152677851642
أگلهـم,0.153377137621
بكل,0.154829131415
وحلو,0.158203499833
بطل,0.160666401243
ما فيها,0.161110399657
عادي !,0.163574215973
وين مكانه,0.164141590855
والتصميم,0.166079656499
أبداً مگثرين,0.167471689019
great,0.169750388833
منوعة,0.17160077947
الخليج,0.174659107653
جربوه,0.184349238787
اكتر,0.1889711684
جدا ولكن,0.189152110968
التجربة,0.189294458825
وجبات,0.189418008499
صحي,0.191374151256
معقول,0.191929890368
اعجبني,0.194182401456
دوبنق,0.194826678961
منه غير,0.198451812195
◠‿◠,0.19847617209
الكوكيز,0.201081348801
كبار,0.203935683306
اسعارهم,0.205709490923
اعععشق,0.206471117039
كافيه,0.209074643369
تذوقته,0.211504129642
واتذكر,0.214161027699
خاص,0.219812057308
همبرجر,0.220226232071
ملاحظة,0.221976361418
فود,0.222313576878
طلب,0.222829575854
مگثرين أغلب,0.226725194969
رهيييييب,0.227539488951
طبخهم,0.229749767518
ان المطعم,0.233490483389
كيفك,0.234678446021
علي,0.237397480764
❤,0.237521329777
مناسبه,0.238860745614
شيييي,0.245407781311
غير سوفليه,0.247081200045
البحرية,0.247823969206
لذيذ..,0.251673494433
التنظيم عندهم,0.253011601593
كباب,0.255903329158
توب,0.263631845281
مگثرين,0.264821359462
أسعارهم,0.265744393871
أفضله على,0.274882715891
وخاصه,0.275133708026
المطعم حلو,0.277181813677
اشوفه,0.277482058726
الانتظار,0.278553499531
بروح,0.279765018213
واسعاره,0.280374002849
في العالم,0.280566133266
أتمنى,0.280826109888
غالي نوعا,0.282179188839
+,0.284212077521
السوق,0.285763547743
الاسبوع,0.289677718223
اجمل,0.291099591885
love,0.294223414694
احبه,0.296612578757
لها,0.302586050343
الارنب,0.302638456876
يمي,0.304854681048
هادئ,0.305361386862
يقع,0.308231634035
مميزة,0.311303806984
ثوم,0.314489177923
اذا,0.316179503906
ويتميز,0.320417959719
انصحكم,0.321626120364
لما,0.328299516357
-,0.329412478015
الدونات,0.331418360872
كان حار,0.332773714792
الي,0.332863666873
اهم,0.333614147703
له,0.333929349581
معك,0.334028838323
يفوتك,0.337527773404
والشاورما,0.339036780822
عن,0.341563162568
متوفر,0.345706731259
الشاي,0.346359891106
فاخر,0.349048093087
عليهم,0.351593982871
ويستاهل,0.351758810991
له فرع,0.355178865479
بالروبيان,0.35552979044
لقد,0.357139513426
الجوده,0.357578622867
وجهة نظري,0.357880806635
البطاطا,0.361568807789
طبعا,0.363810145561
رخيص,0.364276784475
يعاب,0.365182032696
مكان,0.365986524873
ما تذوقت,0.366616138905
فطووور,0.371651670676
قسم,0.374572570286
10,0.375085669721
غيره لا,0.376643946253
مختلفة,0.378053241821
),0.378976762619
و,0.379252390571
وشغل,0.382588162446
والخدمه,0.383914031519
طري,0.385934789244
المساحة,0.386846249621
رائع.,0.389567194254
قوي,0.389679357621
أكلهم,0.39141769274
ولا غير,0.394371063037
فكرة,0.400968136962
حقهم,0.402755376835
افظل,0.408862465417
المطعم ممتاز,0.41085521152
عندو,0.413601085495
فروع,0.416556133471
واحلى,0.417375588494
جيده جدا,0.417638565049
رووووعه,0.418807423334
الربيان,0.419869080576
زحمه,0.420632684484
جميع,0.432808239321
اتمنى,0.433478600022
فعلاً,0.437060788992
ونظيف,0.447568233626
شاء,0.44812064376
الافطار,0.448167154087
فطور,0.448726835049
يوصل,0.452456874297
بالرياض,0.452878415484
برستد,0.454581778752
خصوصا,0.455991112594
منوعه,0.459759314541
الاكل جيد,0.468140750567
واعجبني,0.469120955154
المعجنات,0.477105968452
مررره,0.477355409935
اطيب,0.479683888597
الاكل ممتاز,0.480062749768
10/10,0.481047380893
أفضل مطعم,0.482621864832
الفلافل,0.483723638633
النفس,0.490692733822
ماعمري,0.490721974932
خطير,0.491198417472
دجاج,0.493213456391
جيد,0.49564492823
مميزه,0.501363461847
اطعم,0.504853172979
الوجبات السريعه,0.513971677503
بعيد,0.514685538342
مكان سيء,0.514941428819
منافس,0.518478497606
...,0.520812213066
#,0.520961549562
لحم,0.523552389104
أطعم,0.536949627507
بيتزا,0.54026797969
المطاعم,0.541133684501
بين,0.548819072561
الآن لم,0.551699762158
لذييييذ,0.552440874112
الفحم,0.554741063149
طازج,0.558492696843
ميزة,0.559339935569
غاية,0.564012612512
ساندويش,0.566694195724
السعوديه,0.567557208
يجنن,0.580043565637
مكرونه,0.584974735241
يهتم,0.594828520386
سعرها,0.599697517928
شارع,0.605815202301
يناسب,0.609477035783
أفضل من,0.612130150965
%,0.614703576578
من الناس,0.61966489968
اعشق,0.621701748123
الاّ,0.627563054419
~,0.63401325485
بتجربة,0.635203277428
طلبات,0.635384237807
مكة,0.640844376371
يعمل,0.642988679844
ستاربكس,0.644744175026
بعدين,0.64995104124
فرايز,0.664410332394
فانيلا,0.666397131309
الستيك,0.66680969617
رهيبة,0.668707050406
كتير,0.67014733396
برقر,0.673814184401
الرئيسي,0.675933318768
بكثير من,0.678443561526
والجلسات والديكور,0.680524428942
حبيت,0.681123441207
للي,0.683080122086
رايق,0.684428299569
لديهم,0.684679574035
عالية و,0.687490879429
افضل شيء,0.689738066509
كبده,0.690225496355
جميلة,0.695518789439
ماعليه,0.696418120307
جيد والسعر,0.698916013014
وخاصة,0.703137021877
توصيل,0.703425574591
الصاج,0.710664388975
انا من,0.711834434207
الباقي عادي,0.718842827198
خيال,0.722372087761
بلاك,0.729020393856
للمطعم,0.72917993749
يعيبه,0.731482867001
منتصف,0.735760211752
خضار,0.745287671604
) .,0.746539902432
كان قبل,0.749109504644
ترى,0.749375445084
لذييييييذ,0.752529606539
المشكله,0.753491517142
كل,0.755908762243
لذيذ جدا,0.758881160366
روووعة,0.768448426238
البرياني,0.77033521461
مشكلته انه,0.770772798298
يفوتك وبس,0.772395103579
وعندهم,0.77431267129
برياني,0.774642076682
الشرقية,0.779374318176
مطاعم,0.782005725903
ذقت,0.784094329818
شيك,0.785907086488
هو,0.787464992846
العشاء,0.787859367464
الرياض,0.78847118019
عادي بس,0.789707012047
المناسبات,0.791480891238
في الموضوع,0.802341055228
مططعم,0.8031402812
الطازجة,0.811941132025
حراء,0.815293985539
و كانت,0.823401948078
مجمع,0.824967767946
وحسن,0.827720036696
ومرة,0.830255530963
الرائع,0.833932501488
وانت,0.833998248547
واتمنى,0.835053860209
الجلسات,0.835482216952
الجلوس,0.836707493382
جربوا,0.837033809079
اتذكر,0.837326294246
بسمعة,0.837454210719
لاتاخد,0.838002702574
أو,0.84719034104
أنك,0.850705298795
نوعا,0.851382018377
أگلهـم أبداً,0.851456588676
احسن,0.864906424473
و الاسعار,0.865710517686
الموقع,0.867101527772
وممتاز,0.868567322971
حمص ..,0.869796642563
الجيد,0.873561672087
الصرااحه,0.877903623122
فيه زيت,0.88027093795
الزحام,0.885447392168
وخفيف,0.885642449519
ولذيذ,0.887261522309
الجو,0.887438189632
لايفوتكم,0.891725484834
بالنسبة,0.892939542697
ايضا,0.899216475302
سعودي,0.902310712678
عشاق,0.906473671961
من أفضل,0.906632354061
رااائع,0.911881167516
الاضلاع,0.921459871555
=,0.922347920213
ادمنت,0.932347726505
ما اكل,0.938802762222
غداء,0.944278926499
يستحق,0.945604296121
توه,0.952731789544
لأنها,0.959487491737
افتتاح,0.966871919255
شاء الله,0.968400494608
و ما,0.973992706035
شوي,0.975029905406
بـ,0.976237110665
تكرم النعمه,0.98292825714
الحزام سيئ,0.983799385448
أنا,0.988279969975
روعة,0.996624123747
عندهم,1.00133964436
تشكيلة,1.00175395591
باقي,1.00930752305
شهي,1.01728208337
لازم,1.02864098424
تركي,1.03003684064
المفضل,1.04394525645
مشكلته,1.04548934232
يعجبني,1.04796347093
طويلة,1.05909799459
فرع واحد,1.06229769076
ما شاء,1.06484160774
الاسعار رخيصه,1.07102860797
الاسعار مبالغ,1.07260372862
زحمة,1.08126287679
عادي لكن,1.08136307509
الرمان,1.08245153296
جيد في,1.08273139964
مسحب,1.08760396259
سيء طعم,1.09062764964
بسمعة المطعم,1.09093938916
صغير,1.13375355176
معجنات,1.13556889052
البراوني,1.13586450622
تنسى,1.14205728011
يعني يجي,1.14771875273
مشروب,1.15179903609
بس,1.15428845101
١٠/١٠,1.15746684298
ستيك,1.16394674856
عصير,1.16716082465
طالع من,1.17066174036
كودو,1.17579127921
اعرف,1.18080553877
افضل مطعم,1.1819436255
،،,1.182648216
التخصصي,1.18718352618
( ),1.18916507041
كلاسيك,1.19097823804
المشاوي,1.20077679838
أگلهم مآلحح,1.21498929485
وطازج,1.22224334576
دوق,1.22244754796
بس في,1.23015213869
مناسب,1.24175016172
النكهه,1.25271852355
مطعم مميز,1.25532610657
هم سيئه,1.25559749883
المطبخ,1.26646438219
لذيذة,1.26717328142
لا تعلييييييييييييييييييييق,1.26954335961
بالتأكيد,1.26967660338
خفيف,1.27343000389
المظبي ولا,1.28048681209
عيب,1.28753262427
طيب,1.28897919973
بالنسبة لي,1.29766214142
في اغلب,1.304684978
جميله,1.3135357172
نظيف,1.31594468011
طبق,1.32043581534
لم اجرب,1.34284488334
رهيب,1.34550716608
الاول,1.36153091744
مهما,1.37532069929
وهذا,1.38063212982
أطلب,1.38101717659
العربي,1.38117710807
التنظيم,1.38750674893
اكلهم لذيذ,1.39029401258
اكل منه,1.39133879902
لزيز,1.40394251435
تقييمي,1.40642380557
الاطباق,1.41291999953
على حسب,1.43204695897
حلوه,1.43422269982
تقييم,1.43833629832
يعيبهم,1.43881944714
مكس,1.44052249741
جيدة,1.45590180447
لاكن,1.45637043298
كيك,1.45864983952
عنده,1.46025236888
حلوه لكن,1.46756533845
ويستحق,1.47257091488
من ناحية,1.4871263798
جربت,1.49050806793
الفروج,1.49290683699
دايم,1.49976438105
.. لكن,1.50424085121
بالإضافة,1.52110769271
^_^,1.52351071496
الخيار,1.53432400268
الافضل,1.5410131612
ويكون,1.54220330461
= ),1.56722933598
خاصه,1.56771967043
لاتاخد منه,1.56873381416
طبعاً,1.56913952275
حلويات,1.57283447819
عيبه,1.58613287126
10 من,1.58929136832
عجبني,1.59035655386
ذوق,1.59253805886
ماشاء,1.59804392344
يعتبر,1.60498104388
والربيان,1.61767758493
يم,1.63149401034
حلوة,1.63811190663
الجو العام,1.64839093332
d,1.64898765714
تم,1.65596812824
خاصة,1.6958929623
الذ,1.70172402707
من المطاعم,1.71176193612
معقولة,1.72884103048
خفيفة,1.73003826351
والآن,1.75260357304
لا يعلى,1.77155636958
مفروم,1.81418802392
يكفي,1.81786531122
مميز,1.81916146834
جرب,1.8241325059
قريب,1.84724115362
الشامية,1.85016063133
مقبلات,1.85144917556
المطعم كويس,1.85639641419
البيك,1.86522409216
الأفضل,1.87182521336
طريقة,1.88388257009
المسحب,1.89994409537
عوائل,1.90242972953
مع,1.90665993211
برجر,1.9181990509
9,1.93015746333
كبيره,1.9574094818
بحاجة,1.95924912109
المطعم ..,1.95964072848
عادي مو,1.96467954541
مرة ولا,2.03659158384
خدمة التوصيل,2.03695537093
بزيارته,2.04785208341
يعيب,2.05313679538
انصح,2.07868523345
وأفضل,2.08116491746
صراحة,2.10309971718
احلى,2.10932390093
ممتازه,2.11665603713
8,2.12290266705
جميل,2.13269978835
واذا فيه,2.14512151264
ولا لا,2.16533912683
يحتاج,2.16602713778
روعه,2.17782508394
جيد جدا,2.19447653643
متميز,2.19552714947
😍,2.21264965327
خرافي,2.22317939412
9/10,2.22815751452
بأس,2.27492888751
الجديد,2.29546959805
تكون,2.3273236283
أفضل,2.33778770883
سريعة,2.3611722966
لكنه,2.37289037225
ألذ,2.37954628469
الحزام,2.38348877037
يفتح,2.39771817492
ابداع,2.41328787836
توجد,2.42265475705
عيبهم,2.44847898641
يميز,2.45782757566
حيث,2.50916911908
حقيقه,2.51382053609
تشكن,2.516852455
مرة !,2.54856405306
لذيذه,2.61307846644
والخدمة سيئة,2.62223940464
جربنا,2.66363295132
أنصح,2.68702304331
وان,2.70817457719
: d,2.88725949297
افضل,2.96942243307
مناسبة,3.00325732069
احب,3.02844390715
يختلف,3.0726395977
للأسف سيئة,3.11190852558
اروع,3.16609443834
جلسات,3.17574010585
هادي,3.25192959969
خيالي,3.25419796731
إن,3.26036431778
تكفي,3.26094947266
تمام,3.35387570333
أحلى,3.36495857717
للشباب,3.49850271034
راااائع,3.52007994219
راقي,3.61435168423
حلو,3.70400533892
رائعة,3.76647920511
ممتازة,3.8078832507
يفوتكم,3.81708414845
ممتاز,4.06785612208
رائعه,4.60831492219
: ),4.81303666839
رائع,5.74126263001
لذيذ,5.75120807737
