dname,docid,negcount,poscount,predicted,trueclass,wordcount
MOV,56.0,1.0,9.0,-1.0,1.0,340.0
MOV,57.0,6.0,3.0,-1.0,-1.0,197.0
MOV,58.0,9.0,9.0,-1.0,1.0,449.0
MOV,59.0,0.0,9.0,1.0,1.0,160.0
MOV,60.0,4.0,13.0,1.0,1.0,345.0
MOV,61.0,3.0,5.0,-1.0,-1.0,240.0
MOV,62.0,9.0,10.0,-1.0,-1.0,397.0
MOV,63.0,6.0,13.0,-1.0,-1.0,669.0
MOV,64.0,15.0,14.0,-1.0,-1.0,534.0
MOV,65.0,12.0,4.0,-1.0,-1.0,296.0
MOV,66.0,8.0,4.0,-1.0,-1.0,180.0
MOV,67.0,2.0,4.0,1.0,1.0,147.0
MOV,68.0,3.0,3.0,-1.0,-1.0,196.0
MOV,69.0,1.0,0.0,-1.0,-1.0,85.0
MOV,70.0,8.0,6.0,-1.0,-1.0,315.0
MOV,71.0,4.0,5.0,-1.0,1.0,263.0
MOV,72.0,5.0,10.0,1.0,1.0,1183.0
MOV,73.0,12.0,8.0,-1.0,-1.0,385.0
MOV,74.0,0.0,2.0,-1.0,-1.0,119.0
MOV,75.0,6.0,11.0,-1.0,-1.0,564.0
MOV,76.0,10.0,2.0,-1.0,-1.0,265.0
MOV,77.0,0.0,8.0,1.0,1.0,161.0
MOV,78.0,10.0,5.0,-1.0,-1.0,385.0
MOV,79.0,6.0,8.0,-1.0,-1.0,744.0
MOV,80.0,3.0,8.0,1.0,1.0,168.0
MOV,81.0,7.0,7.0,-1.0,-1.0,239.0
MOV,82.0,5.0,5.0,-1.0,-1.0,317.0
MOV,83.0,0.0,8.0,1.0,1.0,460.0
MOV,84.0,6.0,6.0,-1.0,-1.0,692.0
MOV,85.0,9.0,12.0,1.0,1.0,591.0
MOV,86.0,3.0,5.0,-1.0,-1.0,164.0
MOV,87.0,9.0,7.0,-1.0,-1.0,303.0
MOV,88.0,7.0,9.0,1.0,1.0,1097.0
MOV,89.0,11.0,6.0,-1.0,-1.0,553.0
MOV,90.0,10.0,8.0,-1.0,-1.0,272.0
MOV,91.0,7.0,7.0,-1.0,-1.0,486.0
MOV,92.0,6.0,12.0,-1.0,1.0,808.0
MOV,93.0,3.0,18.0,1.0,1.0,742.0
MOV,94.0,1.0,6.0,1.0,1.0,361.0
MOV,95.0,6.0,7.0,1.0,1.0,531.0
MOV,96.0,3.0,5.0,-1.0,-1.0,201.0
MOV,97.0,9.0,19.0,1.0,1.0,1012.0
MOV,98.0,2.0,13.0,-1.0,-1.0,595.0
MOV,99.0,2.0,19.0,1.0,1.0,411.0
MOV,100.0,8.0,18.0,1.0,1.0,656.0
MOV,101.0,4.0,9.0,-1.0,-1.0,276.0
MOV,102.0,4.0,3.0,-1.0,-1.0,290.0
MOV,103.0,1.0,10.0,1.0,1.0,211.0
MOV,104.0,5.0,5.0,-1.0,-1.0,214.0
MOV,105.0,3.0,5.0,-1.0,-1.0,303.0
MOV,106.0,6.0,24.0,1.0,1.0,1032.0
MOV,107.0,12.0,8.0,1.0,-1.0,361.0
MOV,108.0,7.0,6.0,-1.0,-1.0,447.0
MOV,109.0,2.0,9.0,1.0,1.0,330.0
MOV,110.0,6.0,15.0,-1.0,1.0,779.0
MOV,111.0,6.0,1.0,-1.0,-1.0,257.0
MOV,112.0,4.0,9.0,1.0,1.0,601.0
MOV,113.0,0.0,7.0,1.0,1.0,181.0
MOV,114.0,2.0,5.0,1.0,1.0,373.0
MOV,115.0,5.0,6.0,-1.0,-1.0,375.0
MOV,116.0,3.0,9.0,-1.0,1.0,322.0
MOV,117.0,2.0,11.0,1.0,1.0,596.0
MOV,118.0,0.0,1.0,1.0,1.0,151.0
MOV,119.0,5.0,12.0,-1.0,1.0,355.0
MOV,120.0,6.0,11.0,-1.0,-1.0,589.0
MOV,121.0,5.0,5.0,-1.0,-1.0,357.0
MOV,122.0,3.0,11.0,-1.0,1.0,277.0
MOV,123.0,5.0,8.0,-1.0,-1.0,212.0
MOV,124.0,10.0,10.0,-1.0,-1.0,391.0
MOV,125.0,4.0,1.0,-1.0,-1.0,190.0
MOV,126.0,4.0,12.0,1.0,1.0,460.0
MOV,127.0,0.0,6.0,1.0,1.0,57.0
MOV,128.0,10.0,9.0,-1.0,-1.0,629.0
MOV,129.0,9.0,3.0,-1.0,-1.0,214.0
MOV,130.0,1.0,3.0,1.0,1.0,183.0
MOV,131.0,5.0,2.0,1.0,1.0,320.0
MOV,132.0,3.0,6.0,1.0,-1.0,171.0
MOV,133.0,2.0,7.0,1.0,-1.0,306.0
MOV,134.0,6.0,5.0,-1.0,-1.0,210.0
MOV,135.0,6.0,3.0,-1.0,-1.0,245.0
MOV,136.0,5.0,11.0,-1.0,1.0,371.0
MOV,137.0,3.0,12.0,-1.0,-1.0,303.0
MOV,138.0,5.0,18.0,1.0,1.0,1055.0
MOV,139.0,0.0,14.0,1.0,1.0,153.0
MOV,140.0,7.0,15.0,1.0,1.0,323.0
MOV,141.0,4.0,3.0,-1.0,-1.0,449.0
MOV,142.0,2.0,7.0,1.0,1.0,205.0
MOV,143.0,6.0,3.0,-1.0,-1.0,232.0
MOV,144.0,5.0,4.0,-1.0,-1.0,212.0
MOV,145.0,10.0,4.0,-1.0,-1.0,483.0
MOV,146.0,2.0,11.0,1.0,1.0,649.0
MOV,147.0,4.0,7.0,-1.0,-1.0,175.0
MOV,148.0,7.0,22.0,1.0,1.0,346.0
MOV,149.0,5.0,7.0,-1.0,-1.0,354.0
MOV,150.0,3.0,8.0,-1.0,-1.0,401.0
MOV,151.0,10.0,5.0,-1.0,-1.0,292.0
MOV,152.0,2.0,2.0,-1.0,1.0,136.0
MOV,153.0,1.0,5.0,1.0,1.0,277.0
LABR,0.0,0.0,1.0,-1.0,-1.0,20.0
LABR,1.0,2.0,3.0,-1.0,-1.0,28.0
LABR,2.0,0.0,1.0,1.0,-1.0,5.0
LABR,3.0,0.0,2.0,1.0,1.0,18.0
LABR,4.0,0.0,4.0,1.0,1.0,27.0
LABR,5.0,1.0,1.0,-1.0,-1.0,74.0
LABR,6.0,1.0,3.0,-1.0,-1.0,61.0
LABR,7.0,1.0,2.0,1.0,1.0,91.0
LABR,8.0,0.0,1.0,1.0,1.0,7.0
LABR,9.0,0.0,2.0,1.0,1.0,10.0
LABR,10.0,0.0,1.0,1.0,1.0,7.0
LABR,11.0,0.0,3.0,1.0,1.0,30.0
LABR,12.0,1.0,0.0,-1.0,-1.0,8.0
LABR,13.0,0.0,3.0,1.0,-1.0,63.0
LABR,14.0,2.0,1.0,-1.0,-1.0,21.0
LABR,15.0,3.0,4.0,-1.0,-1.0,296.0
LABR,16.0,0.0,2.0,1.0,1.0,11.0
LABR,17.0,2.0,4.0,-1.0,1.0,82.0
LABR,18.0,5.0,3.0,-1.0,-1.0,226.0
LABR,19.0,2.0,1.0,-1.0,-1.0,107.0
LABR,20.0,2.0,10.0,1.0,1.0,257.0
LABR,21.0,0.0,1.0,-1.0,1.0,8.0
LABR,22.0,2.0,6.0,1.0,-1.0,284.0
LABR,23.0,0.0,0.0,1.0,1.0,23.0
LABR,24.0,2.0,0.0,-1.0,-1.0,12.0
LABR,25.0,1.0,0.0,-1.0,-1.0,43.0
LABR,26.0,4.0,0.0,-1.0,-1.0,234.0
LABR,27.0,0.0,0.0,1.0,1.0,56.0
LABR,28.0,7.0,3.0,-1.0,-1.0,126.0
LABR,29.0,0.0,0.0,1.0,1.0,29.0
LABR,30.0,1.0,3.0,1.0,1.0,204.0
LABR,31.0,0.0,1.0,-1.0,-1.0,9.0
LABR,32.0,4.0,3.0,-1.0,-1.0,64.0
LABR,33.0,0.0,1.0,1.0,1.0,18.0
LABR,34.0,0.0,2.0,1.0,1.0,22.0
LABR,35.0,0.0,1.0,1.0,1.0,45.0
LABR,36.0,2.0,6.0,1.0,1.0,251.0
LABR,37.0,2.0,5.0,1.0,1.0,308.0
LABR,38.0,0.0,3.0,1.0,1.0,3.0
LABR,39.0,0.0,3.0,1.0,1.0,19.0
LABR,40.0,2.0,1.0,-1.0,-1.0,34.0
LABR,41.0,2.0,2.0,-1.0,-1.0,23.0
LABR,42.0,1.0,8.0,1.0,1.0,122.0
LABR,43.0,0.0,3.0,1.0,-1.0,14.0
LABR,44.0,0.0,0.0,-1.0,-1.0,5.0
LABR,45.0,0.0,0.0,1.0,-1.0,11.0
LABR,46.0,0.0,4.0,1.0,1.0,64.0
LABR,47.0,7.0,4.0,-1.0,-1.0,222.0
LABR,48.0,0.0,2.0,1.0,1.0,50.0
LABR,49.0,0.0,0.0,1.0,1.0,56.0
LABR,50.0,0.0,2.0,1.0,1.0,22.0
LABR,51.0,1.0,2.0,1.0,1.0,72.0
LABR,52.0,0.0,0.0,1.0,1.0,25.0
LABR,53.0,1.0,0.0,-1.0,-1.0,65.0
LABR,54.0,1.0,1.0,-1.0,-1.0,2.0
LABR,55.0,0.0,3.0,1.0,-1.0,80.0
LABR,56.0,1.0,2.0,-1.0,-1.0,18.0
LABR,57.0,1.0,3.0,1.0,1.0,45.0
LABR,58.0,0.0,0.0,1.0,1.0,5.0
LABR,59.0,0.0,5.0,1.0,1.0,59.0
LABR,60.0,0.0,3.0,1.0,1.0,160.0
LABR,61.0,0.0,1.0,1.0,1.0,22.0
LABR,62.0,2.0,2.0,-1.0,-1.0,107.0
LABR,63.0,0.0,3.0,1.0,1.0,47.0
LABR,64.0,1.0,3.0,1.0,1.0,36.0
LABR,65.0,0.0,1.0,-1.0,-1.0,4.0
LABR,66.0,0.0,5.0,1.0,1.0,23.0
LABR,67.0,0.0,1.0,1.0,1.0,79.0
LABR,68.0,0.0,2.0,1.0,1.0,3.0
LABR,69.0,0.0,3.0,1.0,1.0,74.0
LABR,70.0,0.0,1.0,1.0,-1.0,1.0
LABR,71.0,0.0,7.0,1.0,1.0,99.0
LABR,72.0,0.0,2.0,1.0,1.0,44.0
LABR,73.0,2.0,0.0,-1.0,-1.0,28.0
LABR,74.0,0.0,5.0,1.0,1.0,32.0
LABR,75.0,2.0,1.0,-1.0,-1.0,15.0
LABR,76.0,4.0,6.0,1.0,1.0,167.0
LABR,77.0,3.0,3.0,-1.0,-1.0,611.0
LABR,78.0,7.0,8.0,-1.0,-1.0,250.0
LABR,79.0,0.0,1.0,1.0,1.0,15.0
LABR,80.0,0.0,2.0,1.0,1.0,18.0
LABR,81.0,0.0,1.0,1.0,-1.0,14.0
LABR,82.0,2.0,0.0,-1.0,-1.0,78.0
LABR,83.0,1.0,3.0,-1.0,-1.0,40.0
LABR,84.0,0.0,2.0,1.0,-1.0,31.0
LABR,85.0,2.0,2.0,1.0,1.0,108.0
LABR,86.0,2.0,3.0,-1.0,-1.0,45.0
LABR,87.0,2.0,2.0,-1.0,-1.0,193.0
LABR,88.0,2.0,2.0,-1.0,-1.0,84.0
LABR,89.0,0.0,2.0,1.0,1.0,25.0
LABR,90.0,1.0,2.0,-1.0,1.0,19.0
LABR,91.0,3.0,1.0,-1.0,-1.0,67.0
LABR,92.0,1.0,2.0,1.0,-1.0,287.0
LABR,93.0,1.0,0.0,-1.0,-1.0,38.0
LABR,94.0,0.0,3.0,-1.0,-1.0,41.0
LABR,95.0,0.0,1.0,1.0,1.0,23.0
LABR,96.0,2.0,10.0,1.0,1.0,189.0
LABR,97.0,0.0,0.0,-1.0,1.0,39.0
LABR,98.0,1.0,0.0,-1.0,-1.0,33.0
LABR,99.0,0.0,1.0,1.0,1.0,32.0
LABR,100.0,0.0,0.0,1.0,1.0,17.0
LABR,101.0,1.0,2.0,-1.0,1.0,35.0
LABR,102.0,1.0,1.0,-1.0,-1.0,64.0
LABR,103.0,1.0,3.0,1.0,1.0,110.0
LABR,104.0,0.0,0.0,1.0,1.0,18.0
LABR,105.0,2.0,2.0,1.0,1.0,206.0
LABR,106.0,2.0,1.0,-1.0,-1.0,47.0
LABR,107.0,1.0,4.0,1.0,1.0,38.0
LABR,108.0,0.0,1.0,1.0,1.0,9.0
LABR,109.0,3.0,3.0,-1.0,-1.0,16.0
LABR,110.0,3.0,0.0,-1.0,-1.0,52.0
LABR,111.0,2.0,1.0,1.0,1.0,152.0
LABR,112.0,2.0,1.0,-1.0,-1.0,85.0
LABR,113.0,0.0,0.0,1.0,1.0,4.0
LABR,114.0,0.0,1.0,-1.0,-1.0,16.0
LABR,115.0,0.0,2.0,1.0,1.0,6.0
LABR,116.0,2.0,3.0,-1.0,-1.0,47.0
LABR,117.0,2.0,0.0,-1.0,-1.0,16.0
LABR,118.0,2.0,1.0,-1.0,-1.0,162.0
LABR,119.0,1.0,3.0,-1.0,-1.0,23.0
LABR,120.0,1.0,1.0,1.0,1.0,30.0
LABR,121.0,0.0,4.0,1.0,1.0,13.0
LABR,122.0,1.0,11.0,1.0,1.0,358.0
LABR,123.0,1.0,0.0,-1.0,-1.0,30.0
LABR,124.0,1.0,2.0,-1.0,-1.0,123.0
LABR,125.0,0.0,2.0,-1.0,-1.0,12.0
LABR,126.0,0.0,1.0,1.0,-1.0,18.0
LABR,127.0,0.0,0.0,-1.0,-1.0,16.0
LABR,128.0,0.0,1.0,-1.0,1.0,21.0
LABR,129.0,3.0,1.0,-1.0,-1.0,15.0
LABR,130.0,0.0,1.0,-1.0,-1.0,27.0
LABR,131.0,0.0,4.0,-1.0,1.0,57.0
LABR,132.0,5.0,4.0,-1.0,-1.0,142.0
LABR,133.0,0.0,0.0,-1.0,1.0,6.0
LABR,134.0,1.0,2.0,-1.0,1.0,23.0
LABR,135.0,0.0,3.0,1.0,1.0,37.0
LABR,136.0,0.0,0.0,-1.0,-1.0,18.0
LABR,137.0,5.0,1.0,-1.0,-1.0,80.0
LABR,138.0,0.0,1.0,-1.0,-1.0,15.0
LABR,139.0,0.0,1.0,-1.0,-1.0,53.0
LABR,140.0,0.0,1.0,-1.0,-1.0,6.0
LABR,141.0,2.0,3.0,1.0,1.0,69.0
LABR,142.0,0.0,4.0,1.0,1.0,26.0
LABR,143.0,6.0,2.0,-1.0,-1.0,72.0
LABR,144.0,0.0,3.0,1.0,1.0,58.0
LABR,145.0,2.0,0.0,-1.0,-1.0,8.0
LABR,146.0,0.0,1.0,-1.0,-1.0,78.0
LABR,147.0,1.0,0.0,-1.0,-1.0,29.0
LABR,148.0,3.0,1.0,-1.0,-1.0,20.0
LABR,149.0,1.0,2.0,1.0,1.0,63.0
LABR,150.0,0.0,1.0,1.0,1.0,8.0
LABR,151.0,0.0,2.0,-1.0,1.0,15.0
LABR,152.0,0.0,0.0,-1.0,1.0,8.0
LABR,153.0,0.0,7.0,1.0,1.0,92.0
LABR,154.0,0.0,4.0,1.0,1.0,29.0
LABR,155.0,0.0,3.0,1.0,1.0,56.0
LABR,156.0,1.0,0.0,-1.0,-1.0,39.0
LABR,157.0,4.0,1.0,-1.0,-1.0,137.0
LABR,158.0,9.0,5.0,-1.0,-1.0,818.0
LABR,159.0,2.0,0.0,-1.0,-1.0,14.0
LABR,160.0,2.0,2.0,-1.0,-1.0,8.0
LABR,161.0,2.0,2.0,1.0,1.0,67.0
LABR,162.0,1.0,3.0,1.0,-1.0,56.0
LABR,163.0,0.0,0.0,-1.0,-1.0,38.0
LABR,164.0,13.0,11.0,-1.0,-1.0,1073.0
LABR,165.0,1.0,6.0,1.0,1.0,129.0
LABR,166.0,0.0,3.0,-1.0,-1.0,61.0
LABR,167.0,6.0,2.0,-1.0,-1.0,629.0
LABR,168.0,0.0,4.0,1.0,1.0,29.0
LABR,169.0,2.0,0.0,1.0,-1.0,8.0
LABR,170.0,2.0,2.0,1.0,1.0,47.0
LABR,171.0,0.0,3.0,1.0,1.0,12.0
LABR,172.0,2.0,0.0,-1.0,-1.0,15.0
LABR,173.0,1.0,0.0,-1.0,-1.0,25.0
LABR,174.0,0.0,0.0,1.0,1.0,26.0
LABR,175.0,0.0,2.0,-1.0,-1.0,26.0
LABR,176.0,0.0,0.0,1.0,1.0,15.0
LABR,177.0,0.0,0.0,-1.0,-1.0,23.0
LABR,178.0,0.0,2.0,1.0,1.0,3.0
LABR,179.0,6.0,7.0,-1.0,-1.0,164.0
LABR,180.0,0.0,4.0,1.0,1.0,19.0
LABR,181.0,0.0,2.0,1.0,-1.0,21.0
LABR,182.0,0.0,4.0,1.0,-1.0,20.0
LABR,183.0,0.0,1.0,1.0,1.0,50.0
LABR,184.0,2.0,1.0,-1.0,-1.0,29.0
LABR,185.0,6.0,9.0,-1.0,-1.0,304.0
LABR,186.0,0.0,0.0,1.0,-1.0,15.0
LABR,187.0,1.0,3.0,-1.0,-1.0,72.0
LABR,188.0,1.0,2.0,-1.0,1.0,12.0
LABR,189.0,1.0,5.0,-1.0,-1.0,54.0
LABR,190.0,0.0,0.0,-1.0,1.0,1.0
LABR,191.0,0.0,1.0,1.0,1.0,5.0
LABR,192.0,1.0,0.0,-1.0,-1.0,44.0
LABR,193.0,2.0,1.0,-1.0,-1.0,47.0
LABR,194.0,0.0,0.0,1.0,1.0,16.0
LABR,195.0,0.0,1.0,-1.0,-1.0,36.0
LABR,196.0,2.0,1.0,-1.0,-1.0,152.0
LABR,197.0,0.0,4.0,1.0,1.0,8.0
LABR,198.0,1.0,0.0,1.0,-1.0,25.0
LABR,199.0,0.0,0.0,1.0,-1.0,40.0
LABR,200.0,0.0,2.0,-1.0,-1.0,45.0
LABR,201.0,0.0,0.0,-1.0,1.0,8.0
LABR,202.0,0.0,3.0,1.0,1.0,19.0
LABR,203.0,3.0,1.0,-1.0,-1.0,57.0
LABR,204.0,2.0,1.0,-1.0,-1.0,14.0
LABR,205.0,2.0,2.0,-1.0,-1.0,43.0
LABR,206.0,0.0,4.0,1.0,1.0,17.0
LABR,207.0,0.0,0.0,-1.0,1.0,38.0
LABR,208.0,2.0,0.0,-1.0,-1.0,9.0
LABR,209.0,2.0,3.0,-1.0,-1.0,74.0
LABR,210.0,0.0,2.0,1.0,-1.0,31.0
LABR,211.0,0.0,2.0,1.0,1.0,4.0
LABR,212.0,1.0,3.0,1.0,1.0,86.0
LABR,213.0,0.0,4.0,1.0,1.0,22.0
LABR,214.0,0.0,0.0,1.0,-1.0,6.0
LABR,215.0,1.0,0.0,-1.0,1.0,6.0
LABR,216.0,0.0,1.0,1.0,-1.0,21.0
LABR,217.0,4.0,1.0,-1.0,-1.0,17.0
LABR,218.0,0.0,0.0,1.0,-1.0,16.0
LABR,219.0,1.0,0.0,-1.0,-1.0,12.0
LABR,220.0,1.0,0.0,-1.0,-1.0,24.0
LABR,221.0,1.0,3.0,1.0,-1.0,19.0
LABR,222.0,0.0,2.0,1.0,1.0,69.0
LABR,223.0,0.0,2.0,-1.0,-1.0,33.0
LABR,224.0,0.0,4.0,1.0,1.0,23.0
LABR,225.0,2.0,1.0,-1.0,-1.0,102.0
LABR,226.0,2.0,3.0,1.0,-1.0,47.0
LABR,227.0,0.0,1.0,1.0,1.0,15.0
LABR,228.0,0.0,2.0,-1.0,1.0,20.0
LABR,229.0,2.0,4.0,-1.0,-1.0,79.0
LABR,230.0,1.0,1.0,-1.0,-1.0,10.0
LABR,231.0,0.0,0.0,1.0,-1.0,13.0
LABR,232.0,2.0,1.0,-1.0,-1.0,51.0
LABR,233.0,3.0,2.0,-1.0,-1.0,45.0
LABR,234.0,5.0,2.0,-1.0,-1.0,179.0
LABR,235.0,3.0,1.0,-1.0,-1.0,96.0
LABR,236.0,2.0,7.0,-1.0,-1.0,115.0
LABR,237.0,0.0,1.0,1.0,1.0,2.0
LABR,238.0,3.0,7.0,-1.0,-1.0,163.0
LABR,239.0,1.0,2.0,1.0,-1.0,40.0
LABR,240.0,1.0,0.0,-1.0,-1.0,42.0
LABR,241.0,1.0,6.0,-1.0,1.0,76.0
LABR,242.0,1.0,0.0,-1.0,-1.0,1.0
LABR,243.0,2.0,2.0,-1.0,1.0,67.0
LABR,244.0,2.0,0.0,-1.0,-1.0,42.0
LABR,245.0,0.0,2.0,1.0,1.0,66.0
LABR,246.0,1.0,0.0,-1.0,-1.0,18.0
LABR,247.0,7.0,17.0,1.0,1.0,796.0
LABR,248.0,0.0,3.0,1.0,1.0,5.0
LABR,249.0,2.0,0.0,-1.0,-1.0,13.0
LABR,250.0,1.0,2.0,1.0,-1.0,28.0
LABR,251.0,0.0,2.0,1.0,1.0,52.0
LABR,252.0,0.0,5.0,1.0,1.0,187.0
LABR,253.0,1.0,1.0,-1.0,-1.0,14.0
LABR,254.0,2.0,3.0,1.0,1.0,131.0
LABR,255.0,5.0,2.0,-1.0,1.0,526.0
LABR,256.0,0.0,5.0,1.0,1.0,101.0
LABR,257.0,1.0,0.0,-1.0,-1.0,3.0
LABR,258.0,0.0,2.0,1.0,1.0,2.0
LABR,259.0,1.0,2.0,1.0,1.0,16.0
LABR,260.0,3.0,4.0,-1.0,-1.0,57.0
LABR,261.0,0.0,2.0,-1.0,-1.0,52.0
LABR,262.0,0.0,2.0,1.0,1.0,15.0
LABR,263.0,0.0,0.0,-1.0,-1.0,17.0
LABR,264.0,0.0,1.0,1.0,1.0,22.0
LABR,265.0,0.0,4.0,1.0,1.0,79.0
LABR,266.0,0.0,2.0,1.0,1.0,15.0
LABR,267.0,0.0,2.0,1.0,1.0,9.0
LABR,268.0,0.0,1.0,1.0,1.0,17.0
LABR,269.0,0.0,4.0,-1.0,-1.0,233.0
LABR,270.0,0.0,1.0,1.0,-1.0,25.0
LABR,271.0,0.0,7.0,1.0,1.0,56.0
LABR,272.0,1.0,1.0,1.0,1.0,59.0
LABR,273.0,0.0,0.0,-1.0,1.0,7.0
LABR,274.0,0.0,3.0,1.0,1.0,101.0
LABR,275.0,3.0,1.0,-1.0,-1.0,55.0
LABR,276.0,2.0,0.0,-1.0,-1.0,13.0
LABR,277.0,0.0,2.0,1.0,1.0,18.0
LABR,278.0,0.0,2.0,1.0,-1.0,15.0
LABR,279.0,0.0,2.0,-1.0,1.0,15.0
LABR,280.0,0.0,6.0,-1.0,1.0,18.0
LABR,281.0,2.0,1.0,-1.0,-1.0,15.0
LABR,282.0,2.0,7.0,1.0,1.0,224.0
LABR,283.0,0.0,1.0,-1.0,-1.0,28.0
LABR,284.0,2.0,1.0,-1.0,-1.0,58.0
LABR,285.0,3.0,4.0,1.0,1.0,272.0
LABR,286.0,0.0,0.0,-1.0,-1.0,9.0
LABR,287.0,2.0,4.0,-1.0,-1.0,104.0
LABR,288.0,1.0,1.0,-1.0,-1.0,20.0
LABR,289.0,1.0,0.0,-1.0,-1.0,23.0
LABR,290.0,0.0,1.0,-1.0,-1.0,17.0
LABR,291.0,4.0,0.0,-1.0,-1.0,33.0
LABR,292.0,0.0,1.0,1.0,1.0,7.0
LABR,293.0,0.0,1.0,1.0,1.0,17.0
LABR,294.0,1.0,0.0,-1.0,-1.0,19.0
LABR,295.0,1.0,1.0,-1.0,-1.0,5.0
LABR,296.0,0.0,2.0,1.0,1.0,12.0
LABR,297.0,0.0,2.0,-1.0,-1.0,45.0
LABR,298.0,1.0,3.0,1.0,1.0,43.0
LABR,299.0,1.0,2.0,-1.0,-1.0,35.0
LABR,300.0,0.0,1.0,-1.0,1.0,37.0
LABR,301.0,0.0,0.0,-1.0,1.0,22.0
LABR,302.0,0.0,4.0,1.0,-1.0,36.0
LABR,303.0,1.0,0.0,-1.0,-1.0,5.0
LABR,304.0,0.0,4.0,1.0,1.0,155.0
LABR,305.0,1.0,1.0,-1.0,-1.0,5.0
LABR,306.0,0.0,3.0,1.0,-1.0,12.0
LABR,307.0,1.0,1.0,1.0,1.0,14.0
LABR,308.0,1.0,4.0,1.0,1.0,32.0
LABR,309.0,0.0,0.0,-1.0,-1.0,22.0
LABR,310.0,0.0,1.0,1.0,1.0,2.0
LABR,311.0,0.0,1.0,1.0,1.0,10.0
LABR,312.0,0.0,1.0,-1.0,-1.0,22.0
LABR,313.0,0.0,4.0,1.0,1.0,10.0
LABR,314.0,1.0,1.0,-1.0,1.0,81.0
LABR,315.0,0.0,4.0,1.0,1.0,55.0
LABR,316.0,1.0,1.0,-1.0,-1.0,61.0
LABR,317.0,2.0,1.0,-1.0,-1.0,8.0
LABR,318.0,0.0,0.0,-1.0,-1.0,54.0
LABR,319.0,1.0,0.0,-1.0,-1.0,12.0
LABR,320.0,0.0,1.0,1.0,1.0,33.0
LABR,321.0,1.0,2.0,-1.0,-1.0,248.0
LABR,322.0,0.0,2.0,1.0,1.0,37.0
LABR,323.0,1.0,0.0,-1.0,1.0,39.0
LABR,324.0,2.0,5.0,-1.0,1.0,111.0
LABR,325.0,0.0,2.0,1.0,1.0,12.0
LABR,326.0,2.0,1.0,-1.0,-1.0,23.0
LABR,327.0,1.0,1.0,-1.0,-1.0,7.0
LABR,328.0,0.0,0.0,1.0,1.0,21.0
LABR,329.0,2.0,3.0,-1.0,-1.0,89.0
LABR,330.0,1.0,2.0,-1.0,-1.0,24.0
LABR,331.0,0.0,5.0,1.0,1.0,41.0
LABR,332.0,0.0,1.0,-1.0,-1.0,133.0
LABR,333.0,5.0,0.0,-1.0,-1.0,53.0
LABR,334.0,2.0,0.0,-1.0,-1.0,15.0
LABR,335.0,1.0,1.0,1.0,1.0,18.0
LABR,336.0,0.0,1.0,1.0,1.0,3.0
LABR,337.0,0.0,1.0,-1.0,-1.0,19.0
LABR,338.0,0.0,0.0,-1.0,-1.0,29.0
LABR,339.0,0.0,1.0,1.0,1.0,3.0
LABR,340.0,3.0,4.0,-1.0,-1.0,135.0
LABR,341.0,0.0,0.0,1.0,1.0,26.0
LABR,342.0,3.0,1.0,-1.0,-1.0,25.0
LABR,343.0,0.0,4.0,-1.0,-1.0,59.0
LABR,344.0,0.0,1.0,1.0,1.0,36.0
LABR,345.0,2.0,4.0,-1.0,-1.0,115.0
LABR,346.0,0.0,0.0,-1.0,-1.0,21.0
LABR,347.0,3.0,10.0,-1.0,-1.0,223.0
LABR,348.0,1.0,0.0,1.0,-1.0,2.0
LABR,349.0,0.0,0.0,1.0,1.0,10.0
LABR,350.0,0.0,2.0,1.0,-1.0,19.0
LABR,351.0,2.0,3.0,1.0,1.0,55.0
LABR,352.0,0.0,0.0,1.0,1.0,3.0
LABR,353.0,1.0,1.0,1.0,-1.0,55.0
LABR,354.0,1.0,0.0,-1.0,-1.0,17.0
LABR,355.0,2.0,0.0,-1.0,-1.0,10.0
LABR,356.0,1.0,2.0,-1.0,-1.0,36.0
LABR,357.0,1.0,0.0,-1.0,-1.0,46.0
LABR,358.0,2.0,1.0,-1.0,-1.0,49.0
LABR,359.0,1.0,0.0,1.0,-1.0,62.0
LABR,360.0,0.0,1.0,1.0,1.0,9.0
LABR,361.0,2.0,1.0,-1.0,-1.0,12.0
LABR,362.0,0.0,6.0,1.0,1.0,65.0
LABR,363.0,2.0,2.0,-1.0,-1.0,38.0
LABR,364.0,0.0,0.0,1.0,1.0,7.0
LABR,365.0,0.0,1.0,1.0,1.0,6.0
LABR,366.0,0.0,4.0,1.0,1.0,57.0
LABR,367.0,1.0,3.0,1.0,1.0,34.0
LABR,368.0,0.0,3.0,1.0,1.0,67.0
LABR,369.0,0.0,1.0,1.0,1.0,58.0
LABR,370.0,2.0,2.0,-1.0,-1.0,59.0
LABR,371.0,5.0,6.0,-1.0,-1.0,160.0
LABR,372.0,2.0,3.0,-1.0,-1.0,28.0
LABR,373.0,5.0,2.0,-1.0,-1.0,17.0
LABR,374.0,3.0,4.0,-1.0,-1.0,66.0
LABR,375.0,6.0,4.0,1.0,-1.0,130.0
LABR,376.0,1.0,0.0,1.0,1.0,13.0
LABR,377.0,0.0,2.0,1.0,1.0,6.0
LABR,378.0,0.0,6.0,1.0,1.0,95.0
LABR,379.0,1.0,5.0,1.0,1.0,36.0
LABR,380.0,0.0,1.0,-1.0,1.0,47.0
LABR,381.0,1.0,1.0,-1.0,-1.0,87.0
